subID,expID,onset,offset,category,trialsID,instanceID,individual_prop_1,individual_prop_2,individual_prop_3,individual_prop_4,individual_prop_5,individual_prop_6,individual_prop_7,individual_prop_8,individual_prop_9,individual_prop_10,individual_prop_11,individual_prop_12,individual_prop_13,individual_prop_14,individual_prop_15,individual_prop_16,individual_prop_17,individual_prop_18,targetGaze
18511,185,132.7,134.95,1,1,47,0.39867,0.0,0.0,0.0,0.0,0.0,0.0,0.21556,0.0,0.0,0.0,0.0,0.0,0.276,0.0,0.0,0.0,0.093333,0.39867
18511,185,134.95,137.2,18,1,48,0.45911,0.0,0.0,0.0,0.0,0.0,0.0,0.16756,0.0,0.0,0.0,0.0,0.0,0.25556,0.0,0.0,0.0,0.0,0.0
18511,185,139.65,141.9,7,1,49,0.0,0.0,0.0,0.0,0.0,0.0,0.59111,0.0,0.0,0.0,0.0,0.090222,0.0,0.13289,0.0,0.0,0.0,0.0,0.59111
18511,185,141.9,144.15,5,1,50,0.0,0.0,0.0,0.0,0.368,0.0,0.16267,0.0,0.0,0.0,0.0,0.26622,0.0,0.18667,0.0,0.0,0.0,0.0,0.368
18511,185,144.15,146.4,12,1,51,0.0,0.0,0.0,0.0,0.80356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19644,0.0,0.0,0.0,0.0,0.0
18511,185,146.4,148.65,14,1,52,0.0,0.0,0.0,0.0,0.0,0.0,0.31022,0.0,0.0,0.0,0.0,0.0,0.0,0.63867,0.0,0.0,0.0,0.0,0.63867
18511,185,151.1,153.35,9,1,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81733,0.0,0.0,0.0,0.0,0.0,0.0,0.17378,0.0,0.0,0.81733
18511,185,153.35,155.6,13,1,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058667,0.0,0.0,0.0,0.35733,0.0,0.0,0.54889,0.0,0.0,0.35733
18511,185,155.6,157.85,3,1,55,0.0,0.0,0.77867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21244,0.0,0.0,0.0,0.0,0.0,0.77867
18511,185,157.85,160.1,16,1,56,0.0,0.0,0.044889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94622,0.0,0.0,0.0,0.0,0.0,0.0
18511,185,162.55,164.8,5,1,57,0.0,0.0,0.0,0.0,0.18711,0.0,0.0,0.0,0.0,0.21333,0.40533,0.0,0.0,0.0,0.10667,0.0,0.0,0.0,0.18711
18511,185,164.8,167.05,10,1,58,0.0,0.0,0.0,0.0,0.21067,0.0,0.0,0.0,0.0,0.68222,0.0,0.0,0.0,0.0,0.088889,0.0,0.0,0.0,0.68222
18511,185,167.05,169.3,15,1,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10844,0.0,0.0,0.0,0.0,0.89156,0.0,0.0,0.0,0.89156
18511,185,169.3,171.55,11,1,60,0.0,0.0,0.0,0.0,0.58667,0.0,0.0,0.0,0.0,0.0,0.23956,0.0,0.0,0.0,0.14622,0.0,0.0,0.0,0.23956
