subID,expID,object,learned,pretrained,i1_curr_targetObj,i1_curr_targetProp,i1_curr_distObj_1,i1_curr_distProp_1,i1_curr_distObj_2,i1_curr_distProp_2,i1_curr_distObj_3,i1_curr_distProp_3,i1_prev_target,i1_prev_dist_1,i1_prev_dist_2,i1_prev_dist_3,i2_curr_targetObj,i2_curr_targetProp,i2_curr_distObj_1,i2_curr_distProp_1,i2_curr_distObj_2,i2_curr_distProp_2,i2_curr_distObj_3,i2_curr_distProp_3,i2_prev_target,i2_prev_dist_1,i2_prev_dist_2,i2_prev_dist_3,i3_curr_targetObj,i3_curr_targetProp,i3_curr_distObj_1,i3_curr_distProp_1,i3_curr_distObj_2,i3_curr_distProp_2,i3_curr_distObj_3,i3_curr_distProp_3,i3_prev_target,i3_prev_dist_1,i3_prev_dist_2,i3_prev_dist_3,i4_curr_targetObj,i4_curr_targetProp,i4_curr_distObj_1,i4_curr_distProp_1,i4_curr_distObj_2,i4_curr_distProp_2,i4_curr_distObj_3,i4_curr_distProp_3,i4_prev_target,i4_prev_dist_1,i4_prev_dist_2,i4_prev_dist_3,i5_curr_targetObj,i5_curr_targetProp,i5_curr_distObj_1,i5_curr_distProp_1,i5_curr_distObj_2,i5_curr_distProp_2,i5_curr_distObj_3,i5_curr_distProp_3,i5_prev_target,i5_prev_dist_1,i5_prev_dist_2,i5_prev_dist_3,i6_curr_targetObj,i6_curr_targetProp,i6_curr_distObj_1,i6_curr_distProp_1,i6_curr_distObj_2,i6_curr_distProp_2,i6_curr_distObj_3,i6_curr_distProp_3,i6_prev_target,i6_prev_dist_1,i6_prev_dist_2,i6_prev_dist_3
18512,185,13,0,0,13,0.47022,18,0.43911,12,0.0,6,0.0,0,0,0,0,13,0.0,12,0.79644,3,0.15911,1,0.0,12,-1,1,-1,13,0.0,9,0.57289,3,0.35556,16,0.0,18,6,12,8,13,0.0,5,1.0,2,0.0,11,0.0,-1,2,-1,9,13,0.0,8,0.98622,7,0.0048889,1,0.0,-1,12,11,5,13,0.036889,10,0.79689,3,0.12133,18,0.0,-1,-1,8,15
18512,185,14,0,0,14,0.32889,4,0.54622,6,0.099111,3,0.0,0,0,0,0,14,0.26356,15,0.71867,6,0.0,3,0.0,0,4,-1,1,14,0.44622,18,0.41422,1,0.056444,8,0.0,15,15,3,16,14,1.0,7,0.0,5,0.0,12,0.0,-1,-1,17,-1,14,0.071111,9,0.49556,17,0.22933,2,0.10622,14,6,7,11,14,0.0,11,1.0,4,0.0,7,0.0,18,4,-1,7
18512,185,15,0,0,15,0.0,6,0.544,14,0.44844,3,0.0,0,0,0,0,15,0.20444,8,0.35689,18,0.19556,16,0.16222,2,6,-1,-1,15,0.0,11,0.80844,10,0.18267,5,0.0,16,-1,-1,-1,15,0.54222,6,0.23556,9,0.15956,12,0.0,11,3,-1,-1,15,0.46,16,0.47778,4,0.0,1,0.0,15,9,-1,1,15,0.22889,1,0.68933,11,0.0,18,0.0,1,-1,13,1
18512,185,16,0,0,16,0.0,1,0.56533,17,0.33467,9,0.0,0,0,0,0,16,0.0,11,0.42311,8,0.25911,2,0.20356,0,0,4,1,16,0.0,8,0.77289,15,0.18089,18,0.0,2,6,-1,-1,16,0.11333,9,0.656,13,0.21244,3,0.0,18,12,8,6,16,0.66356,15,0.3,4,0.0,1,0.0,9,15,-1,1,16,0.0,6,0.51422,8,0.32622,10,0.11556,16,12,-1,-1
18512,185,17,0,0,17,0.26578,16,0.70711,9,0.0,1,0.0,0,0,0,0,17,0.034667,18,0.56533,10,0.18756,9,0.16889,13,10,16,16,17,0.15022,7,0.83244,4,0.0,5,0.0,-1,18,-1,-1,17,0.39067,2,0.27644,9,0.24,14,0.014667,7,11,6,14,17,0.22044,5,0.76178,12,0.0,3,0.0,-1,-1,9,-1,17,0.0,11,0.73378,8,0.26622,7,0.0,4,16,5,7
18512,185,18,0,0,18,0.0,13,1.0,12,0.0,6,0.0,0,0,0,0,18,0.0,10,0.49289,17,0.372,9,0.11822,10,16,16,13,18,0.44311,15,0.51022,16,0.011111,8,0.0,6,-1,-1,2,18,0.0,1,0.88889,8,0.092889,14,0.0,3,16,15,15,18,0.0,15,0.69156,1,0.23156,11,0.0,-1,1,13,1,18,0.36356,13,0.548,3,0.0,10,0.0,8,15,-1,-1
18513,185,1,1,0,1,1.0,9,0.0,17,0.0,16,0.0,0,0,0,0,1,0.884,12,0.116,3,0.0,13,0.0,1,13,-1,6,1,0.55556,14,0.436,8,0.0,18,0.0,1,14,-1,18,1,0.29778,15,0.67511,4,0.0,16,0.0,1,15,4,-1,1,0.0,11,1.0,15,0.0,18,0.0,1,13,15,15,1,0.53956,8,0.18622,13,0.17689,7,0.0,11,8,2,12
18513,185,2,0,0,2,0.0,5,1.0,10,0.0,7,0.0,0,0,0,0,2,0.42533,6,0.29378,4,0.21956,10,0.0,5,-1,-1,5,2,0.0,11,1.0,8,0.0,16,0.0,0,0,16,-1,2,0.010667,17,0.87556,9,0.040444,14,0.0,5,9,11,14,2,0.25911,5,0.42489,11,0.21289,13,0.0,5,17,5,-1,2,0.27689,4,0.23956,9,0.0,12,0.0,-1,-1,14,5
18513,185,3,0,0,3,0.0,4,0.33689,14,0.32711,6,0.26578,0,0,0,0,3,0.65111,1,0.33111,12,0.0,13,0.0,-1,1,13,6,3,0.388,6,0.34622,14,0.19511,15,0.0,3,10,-1,0,3,0.0,9,0.62178,13,0.292,16,0.0,18,12,-1,-1,3,0.70267,12,0.28844,17,0.0,5,0.0,9,-1,2,-1,3,0.13378,13,0.52178,18,0.248,10,0.0,3,13,18,10
18513,185,4,0,0,4,0.15156,14,0.36533,6,0.24444,3,0.19467,0,0,0,0,4,0.0,2,0.89511,6,0.095556,10,0.0,5,-1,-1,5,4,0.51422,7,0.19422,5,0.11244,17,0.099111,2,5,-1,10,4,0.99911,16,0.0,15,0.0,1,0.0,4,-1,15,1,4,0.0,14,0.48933,11,0.21556,7,0.21244,4,9,1,-1,4,0.072,2,0.45867,9,0.15956,12,0.0,-1,14,-1,5
